Id,pcode,rate
18a,NOW-00372,3
18a,MLI-00952,3
18a,JRW-13008,3
18a,CGN-01034,2
18a,NOW-00376,4
18a,DRB-00025,5
18a,NTL-05396,5
18a,CGN-00963,3
18a,CGN-01330,1
18a,CGN-00932,3
18a,CGN-01033,4
18a,DRB-00087,2
19a,BLB-00683,3
19a,CDL-10200,3
19a,CEN-28024,5
19a,CGN-00931,4
19a,CGN-00932,3
19a,CGN-00963,2
19a,CGN-00964,2
19a,CGN-00965,3
19a,CGN-01032,4
20a,CGN-01330,5
20a,DRB-00025,2
20a,DRB-00087,1
20a,JRW-13008,3
20a,LEX-23141,3
20a,MLI-00952,4
20a,NOW-00372,5
20a,NOW-00376,4
20a,NTL-05396,4
20a,NWY-41091,3
21a,CEN-28024,3
21a,CGN-00931,4
21a,CGN-00932,4
21a,CGN-00963,4
21a,CGN-00964,5
21a,CGN-00965,3
21a,CGN-01032,3
21a,CGN-01033,3
21a,CGN-01034,4
21a,CGN-01065,3
21a,CGN-01330,3
22a,CGN-01065,2
22a,CGN-01330,1
22a,DRB-00025,3
22a,DRB-00087,5
22a,JRW-13008,4
22a,LEX-23141,2
22a,MLI-00952,1
22a,NOW-00372,1
23a,CGN-00931,1
23a,CGN-00932,5
23a,CGN-00963,4
23a,CGN-00964,2
23a,CGN-00965,3
23a,CGN-01032,5
23a,CGN-01033,1
23a,CGN-01034,2
24a,CGN-01032,5
24a,CGN-01033,4
24a,CGN-01034,2
24a,CGN-01065,1
24a,CGN-01330,1
24a,DRB-00025,1
24a,DRB-00087,5
24a,JRW-13008,4
24a,LEX-23141,2
24a,MLI-00952,3
24a,NOW-00372,5
24a,NOW-00376,1
25a,BLB-00683,4
25a,CDL-10200,5
25a,CEN-28024,3
25a,CGN-00931,3
25a,CGN-00932,3
25a,CGN-00963,4
25a,CGN-00964,3
25a,CGN-00965,3
25a,CGN-01032,2
25a,CGN-01033,1
25a,CGN-01034,3
25a,CGN-01065,5
25a,DRB-00087,4
25a,JRW-13008,2
25a,LEX-23141,1
25a,MLI-00952,2
25a,NOW-00372,1
25a,NOW-00376,5
25a,NTL-05396,4
26a,MLI-00952,1
26a,NOW-00372,2
26a,NOW-00376,1
26a,NTL-05396,5
26a,NWY-41091,4
26a,SOL-01442,5
26a,SOL-02058,2
26a,SRE-01050,4
27a,CDL-10200,4
27a,CEN-28024,2
27a,CGN-00931,1
27a,CGN-00932,1
27a,CGN-00963,1
27a,CGN-00964,5
27a,CGN-00965,4
27a,CGN-01032,2
27a,CGN-01033,3
27a,CGN-01034,5
27a,NOW-00372,1
27a,NOW-00376,4
27a,NTL-05396,5
27a,NWY-41091,2
28a,CGN-00931,3
28a,CGN-00932,5
28a,CGN-00963,4
28a,CGN-00964,2
28a,CGN-00965,4
28a,CGN-01032,3
28a,CGN-01033,2
28a,DRB-00025,5
28a,DRB-00087,4
28a,JRW-13008,2
29a,CEN-28024,5
29a,CGN-00931,3
29a,CGN-00932,3
29a,CGN-00963,5
29a,CGN-00964,4
29a,CGN-00965,2
29a,CGN-01032,3
29a,DRB-00025,5
29a,DRB-00087,4
30a,SRE-01050,3
30a,SOL-02058,3
30a,SOL-01442,5
30a,NWY-41091,4
30a,NTL-05396,2
30a,NOW-00376,3
30a,NOW-00372,5
30a,MLI-00952,4
30a,LEX-23141,3
30a,CEN-28024,3
30a,CDL-10200,5
30a,BLB-00683,4
31a,CGN-01034,2
31a,CGN-01033,4
31a,CGN-01032,2
31a,CGN-00965,3
31a,CGN-00964,5
31a,NOW-00372,4
31a,MLI-00952,3
31a,LEX-23141,3
31a,JRW-13008,5
31a,DRB-00087,4
32a,SOL-02058,2
32a,SOL-01442,4
32a,NWY-41091,2
32a,NTL-05396,3
32a,NOW-00376,5
32a,NOW-00372,4
32a,MLI-00952,3
32a,LEX-23141,3
32a,JRW-13008,5
32a,DRB-00087,4
33a,CGN-01032,2
33a,CGN-00965,2
33a,CGN-00964,2
33a,CGN-00963,2
33a,CGN-00932,2
33a,CGN-00931,2
33a,CEN-28024,2
33a,CDL-10200,2
33a,BLB-00683,2
34a,NOW-00376,3
34a,NOW-00372,2
34a,MLI-00952,3
34a,LEX-23141,4
34a,JRW-13008,5
34a,DRB-00087,2
34a,DRB-00025,3
34a,CGN-01330,5
34a,CGN-01065,4
34a,CGN-01034,3
34a,CGN-01033,2
35a,DRB-00087,2
35a,DRB-00025,4
35a,CGN-01330,3
35a,CGN-01065,5
35a,CGN-01034,3
35a,CGN-01033,2
35a,CGN-01032,4
35a,CGN-00965,5
35a,CGN-00964,3
35a,CGN-00963,2
35a,CGN-00932,1
35a,CGN-00931,1
36a,NOW-00376,2
36a,NOW-00372,5
36a,MLI-00952,3
36a,LEX-23141,3
36a,JRW-13008,5
36a,DRB-00087,4
36a,DRB-00025,3
36a,CGN-01330,2
36a,CGN-01065,2
37a,SRE-01050,3
37a,SOL-02058,5
37a,SOL-01442,5
37a,NWY-41091,4
37a,NTL-05396,3
37a,NOW-00376,2
37a,NOW-00372,5
37a,MLI-00952,5
37a,LEX-23141,3
37a,JRW-13008,2
38a,NWY-41091,3
38a,NTL-05396,5
38a,NOW-00376,5
38a,NOW-00372,4
38a,MLI-00952,3
38a,LEX-23141,2
38a,JRW-13008,5
38a,CGN-01065,5
38a,CGN-01034,3
38a,CGN-01033,2
38a,CGN-01032,2
38a,CGN-00965,3
38a,CGN-00964,5
39a,NOW-00372,5
39a,MLI-00952,5
39a,LEX-23141,3
39a,JRW-13008,2
39a,DRB-00087,2
39a,DRB-00025,3
39a,CGN-01330,5
39a,CGN-01065,5
39a,CGN-01034,4
39a,CGN-01033,4
39a,CGN-01032,4
39a,CGN-00965,4
40a,CGN-01065,3
40a,CGN-01034,5
40a,CGN-01033,5
40a,CGN-01032,4
40a,CGN-00965,4
40a,CGN-00964,4
40a,CGN-00963,4
40a,CGN-00932,5
40a,CGN-00931,5
40a,CEN-28024,3
41a,BLB-00683,4
41a,LEX-23141,3
41a,SRE-01050,5
41a,NTL-05396,5
41a,CGN-00964,4
41a,CGN-00963,4
41a,CGN-01033,4
41a,CGN-01032,4
41a,CGN-00965,5
42a,NOW-00376,3
42a,NOW-00372,5
42a,MLI-00952,4
42a,LEX-23141,3
42a,CEN-28024,3
42a,CDL-10200,5
42a,BLB-00683,4
42a,CGN-01034,2
42a,CGN-01033,4
42a,CGN-01032,2
42a,CGN-00965,3
43a,CGN-00964,5
43a,NOW-00372,4
43a,MLI-00952,3
43a,LEX-23141,3
43a,JRW-13008,5
43a,DRB-00087,4
43a,SOL-02058,2
44a,SOL-01442,4
44a,NWY-41091,2
44a,NTL-05396,3
44a,NOW-00376,5
44a,NOW-00372,4
45a,DRB-00025,5
45a,SOL-02058,4
45a,NWY-41091,4
45a,MLI-00952,4
45a,JRW-13008,4
45a,CGN-01330,5
45a,CGN-00932,5
45a,CDL-10200,3
45a,CGN-01065,4
45a,CGN-01034,3
46a,SOL-01442,4
46a,NWY-41091,2
46a,NTL-05396,3
46a,NOW-00376,5
46a,NOW-00372,4
46a,MLI-00952,3
46a,LEX-23141,3
46a,JRW-13008,5
46a,DRB-00087,4
47a,CGN-01032,2
47a,CGN-00965,2
47a,CGN-00964,2
47a,CGN-00963,2
47a,CGN-00932,3
47a,CGN-00931,4
48a,CEN-28024,5
48a,CDL-10200,2
49a,CGN-01033,4
49a,CGN-01032,2
49a,CGN-00965,3
49a,DRB-00087,5
49a,DRB-00025,4
49a,CGN-01330,3
49a,CGN-00932,3
49a,CGN-00931,5
49a,CEN-28024,4
49a,CDL-10200,2
50a,DRB-00263,3
50a,DRB-00358,3
50a,DRB-00373,5
50a,JRW-13008,4
50a,LEX-23141,3
50a,MLI-00952,2
50a,BLB-00683,2
50a,CDL-10200,3
50a,CEN-28024,4
50a,CGN-00931,5
50a,CGN-00932,4
50a,CGN-00963,4
50a,MSC-71049,4
51a,LEX-23141,3
51a,MLI-00952,3
51a,MSC-71049,2
51a,MSF-71702,3
51a,NOW-00077,4
51a,NOW-00112,5
51a,NOW-00372,4
51a,NWY-41091,3
51a,SOL-01442,2
52a,BLB-00683,4
52a,CDL-10200,5
52a,CEN-28024,2
52a,CGN-00931,1
52a,CGN-00932,3
52a,CGN-00963,5
52a,CGN-00964,4
52a,CGN-00965,1
52a,CGN-01032,2
53a,JRW-13008,3
53a,MLI-00952,5
53a,MSC-71049,2
53a,MSF-71702,1
53a,NOW-00077,1
53a,NOW-00372,3
53a,NOW-00376,2
53a,NOW-00474,3
53a,NOW-01841,2
53a,NOW-04777,3
53a,NTL-05396,4
53a,NWY-15685,5
53a,NWY-41091,5
53a,SOL-01442,4
53a,BLB-00683,3
53a,SOL-02058,3
53a,SRE-01050,5
54a,SRE-01050,4
54a,SOL-02058,2
54a,SOL-01442,2
54a,NWY-41091,3
54a,NWY-15685,4
54a,NTL-05396,5
54a,NOW-04777,3
54a,NOW-01841,3
54a,NOW-00474,5
54a,NOW-00376,4
55a,MSF-71702,3
55a,MSC-71049,2
55a,MLI-00952,2
55a,LEX-23141,3
55a,JRW-13008,4
55a,DRB-00373,4
55a,DRB-00358,5
55a,DRB-00263,4
55a,DRB-00154,4
56a,CGN-00964,3
56a,CGN-00963,3
56a,CGN-00932,3
56a,CGN-00931,4
56a,CEN-28024,4
56a,CDL-10200,5
56a,BLB-00683,5
57a,CGN-01330,4
57a,CGN-01097,4
57a,CGN-01065,5
57a,CGN-01034,3
57a,CGN-01033,3
57a,CGN-01032,2
58a,NOW-00372,4
58a,NOW-00112,5
58a,NOW-00077,5
58a,MSF-71702,4
58a,MSC-71049,4
58a,MLI-00952,3
58a,LEX-23141,5
58a,JRW-13008,4
58a,DRB-00373,4
59a,LEX-23141,3
59a,JRW-13008,2
59a,DRB-00373,4
59a,DRB-00358,4
59a,DRB-00263,4
59a,DRB-00154,5
59a,DRB-00087,3
60a,CGN-01330,4
60a,CGN-01097,3
60a,CGN-01065,5
60a,CGN-01034,5
60a,CGN-01033,3
60a,CGN-01032,4
60a,CGN-00965,2
61a,CGN-00932,2
61a,CGN-00931,1
61a,CEN-28024,3
61a,CDL-10200,4
61a,BLB-00683,5
61a,NWY-15685,3
61a,NTL-05396,1
61a,NOW-04777,1
61a,NOW-01841,3
62a,NOW-00376,5
62a,NOW-00372,4
62a,NOW-00112,3
62a,NOW-00077,2
62a,MSF-71702,4
62a,MSC-71049,5
62a,MLI-00952,3
62a,LEX-23141,5
62a,NWY-15685,4
62a,NTL-05396,4
63a,NOW-04777,3
64a,MLI-00952,2
64a,LEX-23141,4
64a,JRW-13008,5
64a,DRB-00373,3
64a,DRB-00358,5
64a,DRB-00263,4
64a,DRB-00025,3
64a,CGN-01330,5
64a,CGN-01097,3
65A,NWY-41091,4
65A,NWY-15685,5
65A,NTL-05396,3
65A,NOW-04777,2
65A,NOW-01841,4
65A,NOW-00474,5
65A,NOW-00376,3
65A,NOW-00372,4
65A,DRB-00025,5
65A,CGN-01330,3
65A,CGN-01097,5
66a,MSF-71702,4
66a,MSC-71049,3
66a,SRE-01050,5
66a,DRB-00154,4
66a,CGN-01032,2
66a,DRB-00358,3
66a,SOL-02058,5
66a,SOL-01442,4
67a,DRB-00154,2
67a,CGN-01032,3
67a,DRB-00358,5
67a,SOL-02058,4
67a,SOL-01442,1
67a,CGN-00965,3
67a,LEX-23141,2
67a,BLB-00683,1
67a,NWY-15685,3
67a,DRB-00087,4
68a,NWY-15685,5
68a,DRB-00087,5
68a,CGN-01033,1
68a,NOW-01841,2
68a,CGN-00932,3
68a,CGN-01330,1
68a,DRB-00373,3
68a,NOW-00112,3
68a,DRB-00263,2
69a,NOW-00376,5
69a,CGN-01097,1
69a,CGN-01034,3
69a,JRW-13008,5
69a,MLI-00952,4
69a,NOW-00372,2
69a,CDL-10200,3
69a,NWY-41091,2
70a,MSF-71702,1
70a,MSC-71049,4
70a,SRE-01050,5
70a,DRB-00154,4
70a,CGN-01032,5
70a,DRB-00358,4
70a,SOL-02058,2
70a,CGN-01033,3
71a,DRB-00373,2
71a,NOW-00112,3
71a,DRB-00263,4
71a,NOW-04777,5
71a,NOW-00077,5
71a,CGN-00963,4
71a,NTL-05396,4
71a,DRB-00025,2
71a,NOW-00474,3
71a,NOW-00376,2
71a,NOW-00372,1
71a,CDL-10200,3
72a,MSF-71702,2
72a,MSC-71049,5
72a,SRE-01050,4
72a,DRB-00154,1
72a,CGN-01032,1
72a,DRB-00358,3
72a,SOL-02058,5
72a,SOL-01442,5
72a,CGN-00965,4
72a,LEX-23141,3
72a,BLB-00683,2
72a,NOW-01841,2
73a,MSC-71049,4
73a,SRE-01050,5
73a,DRB-00154,4
73a,CGN-01032,3
73a,DRB-00358,2
73a,SOL-02058,5
73a,SOL-01442,1
73a,CGN-00965,1
73a,LEX-23141,4
73a,BLB-00683,5
73a,CGN-01097,2
73a,CGN-01034,2
73a,JRW-13008,1
73a,MLI-00952,3
74a,NOW-04777,4
74a,NOW-00077,5
74a,CGN-00963,4
74a,NTL-05396,5
74a,DRB-00025,3
74a,NOW-00474,2
74a,NOW-00376,5
74a,CGN-01097,3
74a,CGN-01034,5
74a,JRW-13008,4
74a,MLI-00952,3
74a,NOW-00372,5
74a,CDL-10200,4
74a,NWY-41091,5
75a,MSF-71702,3
75a,MSC-71049,5
75a,SRE-01050,4
75a,DRB-00154,5
75a,CGN-01032,5
75a,DRB-00358,4
75a,SOL-02058,4
75a,SOL-01442,5
75a,CGN-00965,4
75a,LEX-23141,5
75a,BLB-00683,3
75a,NWY-15685,3
76a,MSF-71702,5
76a,MSC-71049,4
76a,SRE-01050,5
76a,DRB-00154,4
76a,CGN-01032,5
76a,DRB-00358,4
76a,SOL-02058,3
76a,SOL-01442,5
76a,CGN-00965,4
76a,LEX-23141,5
76a,BLB-00683,3
76a,NWY-15685,5
76a,DRB-00087,4
76a,CGN-01033,5
76a,NOW-01841,4
76a,CGN-00932,5
76a,CGN-01330,4
76a,DRB-00373,5
76a,NOW-00112,4
76a,DRB-00263,2
77a,DRB-00358,3
77a,SOL-01442,3
77a,NOW-00112,3
77a,DRB-00087,3
77a,CGN-01330,3
77a,SRE-01050,5
77a,DRB-00154,4
77a,DRB-00263,5
77a,LEX-23141,4
77a,BLB-00683,5
77a,NWY-15685,4
77a,NOW-01841,3
77a,CGN-00932,5
77a,DRB-00373,3
77a,DRB-00025,3
77a,NOW-00474,3
77a,NOW-00376,3
77a,CGN-01097,5
77a,NOW-00372,4
77a,CGN-00931,5
78a,CGN-01034,3
78a,JRW-13008,5
78a,MLI-00952,4
78a,NWY-41091,5
78a,CGN-00964,3
78a,NOW-04777,5
78a,CGN-01065,4
78a,CGN-01033,5
78a,CGN-01032,3
78a,MSF-71702,5
78a,MSC-71049,4
78a,CGN-00965,5
78a,CDL-10200,3
78a,"Doctor's Best, Collagen Types 1 and 3 with Vitamin C, 1,000 mg, 540 Tablets",5
79a,BLB-00683,4
79a,NWY-15685,4
79a,NOW-01841,5
79a,CGN-00932,5
79a,DRB-00373,5
79a,CGN-00963,5
79a,DRB-00025,2
79a,NOW-00474,1
79a,NOW-00376,3
79a,CGN-01097,5
79a,NOW-00372,4
79a,CGN-00931,1
79a,CEN-28024,2
79a,SOL-02058,3
79a,NOW-00077,5
79a,NTL-05396,2
79a,CGN-01034,1
79a,JRW-13008,1
79a,MLI-00952,3
80a,DRB-00358,2
80a,SOL-01442,3
80a,NOW-00112,2
80a,DRB-00087,3
80a,CGN-01330,4
80a,SRE-01050,5
80a,DRB-00154,5
80a,DRB-00263,4
80a,LEX-23141,3
80a,BLB-00683,3
80a,NWY-15685,5
80a,NOW-01841,4
80a,CGN-00932,2
80a,DRB-00373,2
81a,CGN-00963,3
81a,DRB-00025,4
81a,NOW-00474,5
81a,NOW-00376,3
81a,CGN-01097,3
81a,NOW-00372,5
81a,CGN-00931,4
81a,CEN-28024,3
81a,SOL-02058,2
81a,NOW-00077,2
81a,NTL-05396,3
81a,CGN-01034,4
81a,JRW-13008,4
81a,MLI-00952,5
81a,NWY-41091,4
81a,CGN-00964,4
81a,NOW-04777,3
81a,CGN-01065,3
81a,CGN-01033,3
81a,CGN-01032,4
81a,MSF-71702,4
82a,DRB-00358,5
82a,SOL-01442,5
82a,NOW-00112,4
82a,DRB-00087,4
82a,CGN-01330,5
82a,SRE-01050,3
82a,DRB-00154,3
82a,DRB-00263,2
82a,LEX-23141,4
82a,BLB-00683,5
83a,NWY-15685,5
84a,NOW-01841,4
84a,CGN-00932,4
84a,DRB-00373,3
84a,CGN-00963,5
84a,DRB-00025,4
84a,NOW-00474,4
84a,NOW-00376,3
85a,CGN-01097,2
85a,NOW-00372,4
85a,CGN-00931,4
85a,CEN-28024,4
85a,SOL-02058,5
85a,NOW-00077,3
85a,NTL-05396,4
85a,CGN-01034,3
85a,JRW-13008,5
85a,MLI-00952,5
85a,NWY-41091,3
85a,CGN-00964,4
85a,NOW-04777,2
86a,CGN-01065,2
86a,CGN-01033,1
86a,CGN-01032,3
86a,MSF-71702,4
86a,MSC-71049,5
86a,CGN-00965,3
86a,CDL-10200,1
87a,LEX-23141,1
87a,BLB-00683,3
87a,NWY-15685,5
87a,NOW-01841,4
87a,CGN-00932,3
87a,DRB-00373,2
87a,CGN-00963,4
87a,DRB-00025,5
87a,NOW-00474,3
87a,NOW-00376,5
87a,CGN-01097,4
87a,NOW-00372,4
88a,NOW-00112,3
88a,DRB-00087,2
88a,CGN-01330,4
88a,SRE-01050,5
88a,DRB-00154,3
88a,DRB-00263,5
88a,LEX-23141,4
88a,BLB-00683,3
88a,NWY-15685,5
88a,NOW-01841,3
89a,CGN-00931,4
89a,CEN-28024,5
89a,SOL-02058,3
89a,NOW-00077,2
89a,NTL-05396,4
89a,CGN-01034,5
89a,JRW-13008,3
89a,MLI-00952,4
89a,NWY-41091,5
89a,CGN-00964,3
89a,NOW-04777,5
89a,CGN-01065,4
89a,CGN-01033,3
89a,CGN-01032,5
90a,JRW-13008,4
90a,MLI-00952,2
90a,NWY-41091,3
90a,CGN-00964,5
90a,NOW-04777,4
90a,CGN-01065,2
90a,CGN-01033,3
90a,CGN-01032,5
90a,MSF-71702,4
90a,MSC-71049,1
90a,CGN-00965,3
90a,CDL-10200,2
91a,DRB-00358,1
91a,SOL-01442,3
91a,NOW-00112,4
91a,DRB-00087,5
91a,CGN-01330,5
91a,SRE-01050,1
91a,DRB-00154,2
91a,DRB-00263,3
91a,LEX-23141,1
91a,BLB-00683,3
91a,NWY-15685,3
91a,NOW-01841,2
91a,CGN-00932,5
91a,DRB-00373,1
92a,BLB-00683,3
92a,NWY-15685,5
92a,NOW-01841,4
92a,CGN-00932,2
92a,DRB-00373,3
92a,CGN-00963,2
92a,DRB-00025,1
92a,NOW-00474,4
92a,NOW-00376,5
92a,CGN-01097,4
93a,CGN-01034,5
93a,JRW-13008,4
93a,MLI-00952,2
93a,NWY-41091,3
93a,CGN-00964,2
93a,NOW-04777,3
93a,CGN-01065,4
93a,CGN-01033,5
93a,CGN-01032,5
93a,MSF-71702,4
93a,MSC-71049,4
94a,CGN-00964,2
94a,NOW-04777,3
94a,CGN-01065,2
94a,CGN-01033,1
94a,CGN-01032,3
94a,MSF-71702,2
94a,MSC-71049,5
94a,CGN-00965,4
94a,CDL-10200,1
95a,NOW-00112,1
95a,DRB-00087,3
95a,CGN-01330,5
95a,SRE-01050,5
95a,DRB-00154,4
95a,DRB-00263,3
95a,LEX-23141,2
95a,BLB-00683,2
95a,NWY-15685,4
95a,NOW-01841,5
95a,CGN-00932,4
96a,NOW-01841,3
96a,CGN-00932,2
96a,DRB-00373,5
96a,CGN-00963,1
96a,DRB-00025,1
96a,NOW-00474,4
96a,NOW-00376,5
96a,CGN-01097,2
96a,NOW-00372,2
96a,CGN-00931,1
96a,CEN-28024,3
97a,NOW-00112,4
97a,DRB-00087,5
97a,CGN-01330,4
97a,SRE-01050,5
97a,DRB-00154,3
97a,DRB-00263,2
97a,LEX-23141,5
97a,BLB-00683,3
97a,NWY-15685,5
97a,NOW-01841,4
97a,CGN-00932,3
98a,CEN-28024,5
98a,SOL-02058,4
98a,NOW-00077,5
98a,NTL-05396,3
98a,CGN-01034,5
98a,JRW-13008,4
98a,MLI-00952,5
98a,NWY-41091,5
98a,CGN-00964,4
98a,NOW-04777,4
98a,CGN-01065,5
98a,CGN-01033,4
99a,NOW-04777,5
99a,CGN-01065,3
99a,CGN-01033,3
99a,CGN-01032,5
99a,MSF-71702,4
99a,MSC-71049,5
99a,CGN-00965,4
99a,CDL-10200,5
1b,BLB-00683,4
1b,NWY-15685,3
1b,NOW-01841,5
1b,CGN-00932,4
1b,DRB-00373,5
1b,CGN-00963,3
1b,DRB-00025,5
1b,NOW-00474,4
1b,NOW-00376,5
2b,SRE-01050,4
2b,SOL-02058,5
2b,SOL-01442,4
2b,NWY-41091,5
2b,NWY-15685,4
2b,NTL-05396,2
2b,NOW-04777,3
2b,NOW-01841,3
2b,NOW-00474,3
2b,NOW-00376,3
2b,NOW-00372,3
2b,NOW-00112,5
2b,NOW-00077,4
2b,MSF-71702,5
2b,MSC-71049,4
2b,MLI-00952,5
3b,DRB-00263,4
3b,DRB-00154,3
3b,DRB-00087,5
3b,DRB-00025,3
3b,CGN-01330,3
3b,CGN-01097,3
3b,CGN-01065,3
3b,CGN-01034,5
3b,CGN-01033,4
3b,CEN-28024,5
4b,SRE-01050,3
4b,SOL-02058,5
4b,SOL-01442,4
4b,NWY-41091,5
4b,NWY-15685,3
4b,NTL-05396,5
4b,NOW-04777,4
4b,NOW-01841,5
4b,NOW-00474,3
4b,NOW-00376,5
4b,NOW-00372,4
4b,NOW-00112,5
4b,NOW-00077,3
4b,MSF-71702,5
4b,DRB-00154,5
5b,NOW-00372,4
5b,NOW-00112,5
5b,NOW-00077,4
5b,MSF-71702,5
5b,MSC-71049,4
5b,MLI-00952,3
5b,LEX-23141,5
5b,JRW-13008,3
5b,DRB-00373,3
5b,DRB-00358,3
5b,DRB-00263,3
5b,DRB-00154,5
6b,BLB-00683,4
6b,CDL-10200,5
6b,CEN-28024,3
6b,CGN-00931,5
6b,CGN-00932,4
6b,CGN-00963,5
6b,CGN-00964,3
6b,CGN-00965,5
6b,CGN-01032,4
6b,CGN-01033,5
6b,CGN-01034,3
6b,CGN-01065,5
6b,CGN-01097,4
6b,CGN-01330,5
7b,DRB-00373,3
7b,JRW-13008,5
7b,LEX-23141,4
7b,MLI-00952,4
7b,MSC-71049,5
7b,MSF-71702,5
7b,NOW-00077,5
7b,NOW-00112,5
7b,NOW-00372,2
7b,NOW-00376,1
8b,MLI-00952,3
8b,MSC-71049,5
8b,MSF-71702,4
8b,NOW-00077,1
8b,NOW-00112,2
8b,NOW-00372,3
8b,NOW-00376,5
8b,NOW-00474,2
8b,NOW-01841,1
8b,NOW-04777,1
8b,NTL-05396,3
8b,NWY-15685,2
8b,NWY-41091,3
9b,CGN-01097,2
9b,CGN-01330,3
9b,DRB-00025,4
9b,DRB-00087,5
9b,DRB-00154,5
9b,DRB-00263,4
9b,DRB-00358,3
9b,DRB-00373,3
10b,LEX-23141,5
10b,MLI-00952,4
10b,MSC-71049,2
10b,MSF-71702,2
10b,NOW-00077,3
10b,NOW-00112,4
10b,NOW-00372,5
10b,NOW-00376,3
11b,SOL-01442,3
11b,NOW-00372,5
11b,NOW-00376,4
11b,CGN-01034,3
11b,CGN-01065,2
11b,DRB-00373,2
11b,NOW-00112,3
11b,CDL-10200,4
11b,CEN-28024,4
11b,CGN-00931,5
11b,CGN-00932,4
11b,CGN-01097,4
12b,CGN-01330,3
12b,JRW-13008,3
12b,MLI-00952,3
12b,MSC-71049,4
12b,NOW-01841,4
12b,NWY-41091,5
12b,SOL-02058,5
12b,DRB-00025,4
12b,DRB-00087,4
13b,MSF-71702,5
13b,CGN-00965,3
13b,CGN-01032,3
13b,CGN-01033,2
13b,DRB-00154,4
13b,NOW-00474,5
13b,NWY-15685,5
13b,CGN-00963,4
13b,CGN-00964,4
14b,CGN-01034,3
14b,CGN-01065,5
14b,DRB-00373,4
14b,NOW-00112,4
14b,CDL-10200,3
14b,CEN-28024,2
14b,CGN-00931,4
14b,CGN-00932,4
14b,CGN-01097,4
14b,CGN-01330,5
14b,JRW-13008,3
14b,MLI-00952,4
15b,CGN-00931,3
15b,CGN-00932,5
15b,CGN-01097,5
15b,CGN-01330,3
15b,JRW-13008,4
